data,head,gat16,gat16- 
cora,1,91.84949494949494,0.4257942727765771
pubmed,1,86.06666666666668,0.30705978943149453
question,1,97.01929292929293,0.007593300652618377
min,1,80.340202020202,0.07801072398780694
texas,1,74.91181818181819,3.255272760017973
wiki,1,3.951717171717172,10.092729353189991
wis,1,56.3261616161616,3.240696796788575
cora,4,92.56767676767674,0.40853853085045266
pubmed,4,86.11515151515151,0.31763270932540116
question,4,97.02000000000001,1.4283175053588122e-14
min,4,80.25777777777778,0.07499055118106504
texas,4,77.72363636363636,4.601841125459495
wiki,4,69.70454545454547,9.178758560930316
wis,4,57.73232323232323,3.8127286357091816
cora,8,92.39595959595958,0.4999835082829604
pubmed,8,86.09191919191919,0.36524433188600003
question,8,97.02010101010103,0.001005037815259726
min,8,80.26464646464645,0.08155770626776722
texas,8,73.08212121212124,6.402636777097652
wiki,8,71.78131313131313,8.86486053695848
wis,8,55.434747474747454,4.354483812384079
